100012at4751	1288291_0:0000dc
100012at4751	1288291_0:0001a6
100012at4751	1354746_0:00037e
100012at4751	1485682_0:000518
100012at4751	1485682_0:00051c
100012at4751	1485682_0:000659
100012at4751	1485682_0:000660
100018at4751	1354746_0:00047e
10003116at2759	1485682_0:00068d
100033at4751	1354746_0:00043b
100035at4751	1288291_0:000dea
100035at4751	1354746_0:000124
100035at4751	1485682_0:00013a
100035at4751	1485682_0:000306
100036at4751	1288291_0:000c69
100036at4751	1354746_0:00036c
100036at4751	1485682_0:000cdf
100045at4751	1354746_0:000676
100048at4751	1354746_0:000021
10004999at2759	1288291_0:0009f5
100051at4751	1288291_0:00038c
100051at4751	1288291_0:00039e
100051at4751	1354746_0:000669
100051at4751	1485682_0:00014c
10005898at2759	1485682_0:0009b2
10006023at2759	1485682_0:00022c
10006023at2759	1485682_0:00080f
10006270at2759	1288291_0:000158
10006270at2759	1354746_0:00041b
10006at6029	1288291_0:000ba6
10006at6029	1485682_0:000815
10007170at2759	1485682_0:0005fa
100074at4751	1288291_0:00022e
100074at4751	1288291_0:000816
100074at4751	1288291_0:000ae9
100074at4751	1288291_0:000c22
100074at4751	1288291_0:000d01
100076at4751	1288291_0:000c34
100076at4751	1354746_0:0001cf
100076at4751	1485682_0:000c10
100077at4751	1354746_0:00030c
10009287at2759	1288291_0:000274
10009287at2759	1354746_0:00064d
10009287at2759	1485682_0:000934
100093at4751	1354746_0:00013d
10009at6029	1288291_0:00013b
10009at6029	1354746_0:0002a4
10012212at2759	1354746_0:000517
100129at4751	1288291_0:000704
100129at4751	1354746_0:0004ed
10012at6029	1288291_0:000000
10012at6029	1354746_0:0006c7
10012at6029	1485682_0:000254
100137at4751	1354746_0:00005a
100149at4751	1354746_0:0006fd
100149at4751	1485682_0:000aae
10014at6029	1288291_0:0004a7
10014at6029	1354746_0:000686
100159at4751	1288291_0:000d26
10015at6029	1288291_0:0003cb
10015at6029	1354746_0:000668
100164at4751	1288291_0:000668
100164at4751	1354746_0:0004a3
100164at4751	1485682_0:000311
100166at4751	1288291_0:0007c8
100166at4751	1354746_0:0006d5
100166at4751	1485682_0:0004e6
10016939at2759	1485682_0:0003d6
10017054at2759	1288291_0:000110
10017054at2759	1354746_0:0002e6
10017054at2759	1485682_0:000356
10017054at2759	1485682_0:000986
100175at4751	1354746_0:00024b
100177at4751	1288291_0:000406
100177at4751	1354746_0:0000ee
100177at4751	1485682_0:000c33
100181at4751	1288291_0:0000df
100190at4751	1354746_0:000279
100194at4751	1288291_0:000a2f
100194at4751	1354746_0:0004bf
100194at4751	1485682_0:000add
10020333at2759	1288291_0:0003d6
10020333at2759	1288291_0:00080b
10020333at2759	1354746_0:0003e1
10020333at2759	1354746_0:000558
10020333at2759	1485682_0:000362
10020554at2759	1485682_0:000ab7
100207at4751	1288291_0:0004c8
100207at4751	1354746_0:0002d9
100207at4751	1485682_0:0004de
100208at4751	1354746_0:000556
10020961at2759	1485682_0:0005b7
100212at4751	1354746_0:0005a7
10022113at2759	1288291_0:00038e
10022113at2759	1288291_0:000432
10022113at2759	1354746_0:0003e0
10022113at2759	1485682_0:000b09
10022113at2759	1485682_0:000b10
10022292at2759	1354746_0:000083
100232at4751	1288291_0:000373
100232at4751	1354746_0:0004be
100235at4751	1354746_0:00021b
100238at4751	1288291_0:000cb3
100238at4751	1288291_0:000cb5
10023at6029	1288291_0:0007a2
10023at6029	1354746_0:000422
100249at4751	1288291_0:000b72
100249at4751	1354746_0:000335
100249at4751	1485682_0:00043d
100251at4751	1288291_0:000188
100251at4751	1354746_0:00035f
10025at4751	1288291_0:0008cf
10025at4751	1354746_0:000263
10025at4751	1485682_0:0007da
100271at4751	1354746_0:00002c
10027at6029	1288291_0:0001d0
10027at6029	1354746_0:00060c
10027at6029	1485682_0:0000f9
100304at4751	1354746_0:00062b
10031169at2759	1288291_0:000242
10031169at2759	1288291_0:00050b
10031169at2759	1354746_0:00071a
10031169at2759	1485682_0:00030b
10031169at2759	1485682_0:000b2b
10031169at2759	1485682_0:000b31
100316at4751	1288291_0:00033c
100316at4751	1354746_0:00051e
100316at4751	1485682_0:00071f
100316at4751	1485682_0:000ce6
10031947at2759	1288291_0:0002f5
10031947at2759	1354746_0:0003cd
10031947at2759	1485682_0:00030e
100323at4751	1288291_0:000282
100323at4751	1354746_0:0006b2
100328at4751	1288291_0:00082d
100328at4751	1288291_0:000989
100328at4751	1288291_0:000df8
100340at4751	1288291_0:0006c1
100340at4751	1354746_0:000628
100341at4751	1288291_0:0002c5
100341at4751	1354746_0:0004ea
100341at4751	1485682_0:00020d
100343at4751	1288291_0:000656
100343at4751	1288291_0:000759
100343at4751	1288291_0:000778
100343at4751	1288291_0:000800
100343at4751	1288291_0:000829
100343at4751	1288291_0:00082a
100343at4751	1288291_0:000926
100343at4751	1288291_0:000a1c
10034502at2759	1354746_0:000569
10034502at2759	1485682_0:0007b3
100345at4751	1354746_0:000454
10034655at2759	1288291_0:000aa7
10034655at2759	1354746_0:0003fb
100348at4751	1288291_0:000050
100351at4751	1288291_0:00099f
100351at4751	1354746_0:000199
100351at4751	1485682_0:000256
10036188at2759	1485682_0:000a8c
10036721at2759	1288291_0:000d82
10036721at2759	1354746_0:000411
10036721at2759	1485682_0:0003f5
10036721at2759	1485682_0:0003fa
100370at4751	1354746_0:000197
10037838at2759	1485682_0:00059c
100378at4751	1288291_0:0000f8
100378at4751	1354746_0:00037a
100378at4751	1485682_0:0006b5
100378at4751	1485682_0:000913
10037at6029	1288291_0:000338
100380at4751	1288291_0:0002e8
100380at4751	1354746_0:000627
10039049at2759	1288291_0:0001b8
10039049at2759	1354746_0:0003d7
10039049at2759	1485682_0:0000e0
10039049at2759	1485682_0:000670
100390at4751	1354746_0:0005c7
100391at4751	1288291_0:000d57
100391at4751	1354746_0:0004d0
100391at4751	1485682_0:0003b7
100391at4751	1485682_0:000768
100392at4751	1288291_0:000506
10039566at2759	1485682_0:0004ca
10039976at2759	1288291_0:000c5c
10039976at2759	1485682_0:00091f
10040024at2759	1485682_0:0001e7
100402at4751	1288291_0:0005df
100402at4751	1354746_0:0004ac
100402at4751	1485682_0:000a13
100404at4751	1288291_0:000086
100404at4751	1354746_0:0005f5
10040at6029	1288291_0:000866
10040at6029	1354746_0:000647
100423at4751	1354746_0:000471
100424at4751	1354746_0:000430
100426at4751	1354746_0:000651
100433at4751	1288291_0:00028e
100433at4751	1354746_0:0006d0
100444at4751	1288291_0:000919
10044at6029	1485682_0:000c34
10045at6029	1288291_0:000890
10045at6029	1354746_0:000318
100461at4751	1288291_0:0002e4
100461at4751	1354746_0:00054e
100461at4751	1485682_0:000b1f
100467at4751	1288291_0:000cf5
10049244at2759	1485682_0:0006e7
10049244at2759	1485682_0:000810
1004at6029	1485682_0:000350
1004at6029	1485682_0:00078b
1004at6029	1485682_0:000b32
1004at6029	1485682_0:000b8b
100500at4751	1288291_0:00002a
100500at4751	1485682_0:000b67
100506at4751	1485682_0:0003e5
100511at4751	1288291_0:000681
100511at4751	1485682_0:000a8d
10052040at2759	1288291_0:0005bb
10052040at2759	1354746_0:00040a
10052040at2759	1485682_0:000157
10052172at2759	1485682_0:000500
10052321at2759	1485682_0:000a62
100523at4751	1354746_0:00019e
10052615at2759	1288291_0:000bca
10052789at2759	1288291_0:000083
10052789at2759	1288291_0:000088
